date,store,product_name,screen_size,chipset,ram,ssd,price,url
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M1,13 inch,M1,8GB,256GB,19190000,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa?utm_flashsale=1
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M2,13 inch,M2,8GB,256GB,24190000,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M3,13 inch,M3,8GB,256GB,27090000,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024
2024-09-30,the-gioi-di-dong,MacBook Air 15 inch M2 Sạc 70W,15 inch,M2,8GB,256GB,27790000,https://www.thegioididong.com/laptop/macbook-air-15-inch-m2-2023-70w
2024-09-30,the-gioi-di-dong,MacBook Air 15 inch M2 Sạc 35W,15 inch,M2,8GB,256GB,27790000,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2023
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M2 10GPU,13 inch,M2,16GB,512GB,33990000,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb?utm_flashsale=1
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M3,13 inch,M3,16GB,256GB,32090000,https://www.thegioididong.com/laptop/macbook-air-13-inch-m3-2024-16gb-256gb?utm_flashsale=1
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M2 10GPU,13 inch,M2,16GB,256GB,29190000,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-16gb-256gb-10gpu?utm_flashsale=1
2024-09-30,the-gioi-di-dong,MacBook Air 15 inch M3,15 inch,M3,16GB,256GB,36690000,https://www.thegioididong.com/laptop/macbook-air-15-inch-m3-2024-16gb-256gb
2024-09-30,the-gioi-di-dong,MacBook Air 13 inch M2 10GPU,13 inch,M2,8GB,512GB,29090000,https://www.thegioididong.com/laptop/apple-macbook-air-m2-2022-10-core-gpu?utm_flashsale=1
